SampleID,AdditionalNames,PhasedBam
M0408,NP-WGS_R9-LSK110-SBD-HS_2021_002-5mCG-Pb,/n/alignments/hiddenSeq/M0408-NP-WGS-hiddenSeq-1372551-HS_2021_002-5mc-pb/M0408-NP-WGS-hiddenSeq-1372551-HS_2021_002-5mc-pb.phased.bam
M2315,NP-WGS_R10-LSK114-UDN-UDN964399_na-5mCG_5hmCG-Pb,/n/alignments/UDN/M2315-NP-WGS_R10-LSK114-UDN-UDN964399_na-5mCG_5hmCG-Pb/M2315-NP-WGS_R10-LSK114-UDN-UDN964399_na-5mCG_5hmCG-Pb.phased.bam
